id,order,active,segment,cat_ru,cat_en,cat_az,title_ru,title_en,title_az,desc_ru,desc_en,desc_az,duration_ru,duration_en,duration_az,priceFrom,unit_ru,unit_en,unit_az,photo,eyebrow_ru,eyebrow_en,eyebrow_az,hook_ru,hook_en,hook_az,subtitle_ru,subtitle_en,subtitle_az,badge_ru,badge_en,badge_az,ctaLabel_ru,ctaLabel_en,ctaLabel_az,ctaHref,features_ru,features_en,features_az,priceLabel_ru,priceLabel_en,priceLabel_az,ctaHref_ru,ctaHref_en,ctaHref_az
rent,1,yes,featured,Аренда,Rental,İcarə,Аренда яхты,Yacht rental,Yaxta icarəsi,Парусные и моторные яхты с капитаном для прогулок по Бакинской бухте.,Sailing and motor yachts with a captain for cruises in Baku Bay.,Bakı körfəzində gəzintilər üçün kapitan ilə yelkənli və motor yaxtaları.,от 2 ч,from 2 h,2 saatdan,200,₼ / час,₼ / hour,₼ / saat,https://optim.tildacdn.com/tild6663-3430-4235-b861-363863303833/-/format/webp/indexyachtaz.jpg.webp,Баку · Прогулки и круизы,Baku · Cruises and outings,Bakı · Gəzinti və kruizlər,,,,Парусные и моторные яхты с капитаном,Sailing and motor yachts with a captain,Kapitanlı yelkənli və motor yaxtaları,От 1 часа · С капитаном,From 1 hour · With captain,1 saatdan · Kapitanla,Выбрать яхту,Choose yacht,Yaxta seç,yachts,,,,,,,,,
photoshoot,1.5,yes,featured,Фотосессия,Photoshoot,Fotosessiya,Фотосессия на яхте,Yacht photoshoot,Yaxtada fotosessiya,"Свадьба, love story, портрет или контент для бренда — золотой час на борту.","Wedding, love story, portrait or brand content — golden hour on board.","Toy, love story, portret və ya brend kontenti — göyərtədə qızıl saat.",,,,,,,,https://cdn.jsdelivr.net/gh/Profbroker/y-az-publish@main/assets/photoshoot-hero.webp,Баку · Золотой час,Baku · Golden hour,Bakı · Qızıl saat,"Кадры, которые хочется распечатать",Photos you will want to print,Çap etmək istəyəcəyiniz kadrlar,"Свадьба, love story, портрет и бренд-съёмка","Wedding, love story, portrait and brand shoots","Toy, love story, portret və brend çəkilişi",Фотограф — опционально,Photographer optional,Fotoqraf — istəyə görə,Подробнее,Learn more,Ətraflı,fotosessiya-na-yahte-baku,,,,,,,fotosessiya-na-yahte-baku,yacht-photoshoot-baku,yaxtada-fotosessiya-baki
school,2,yes,featured,Обучение,Training,Təlim,Школа капитанов,School of captains,Kapitanlar məktəbi,"Полная программа подготовки: теория, практика, выход на сертификат IYT.","Full prep programme: theory, practice, IYT certificate exam.","Tam hazırlıq proqramı: nəzəriyyə, təcrübə, IYT sertifikatı.",6 недель,6 weeks,6 həftə,1800,₼ / курс,₼ / course,₼ / kurs,https://static.tildacdn.com/tild6539-6134-4364-b136-646334333731/DSC_2094.jpg,,,,Хотите сами управлять яхтой?,Want to sail your own yacht?,Yaxtanı özün idarə etmək istəyirsən?,Возьмите штурвал в свои руки!,Take the helm in your hands!,Sükanı öz əllərinə al!,Международный сертификат IYT,International IYT certificate,Beynəlxalq IYT sertifikatı,Программа курса,Course programme,Kurs proqramı,school,,,,,,,,,
cruise,11,no,group,Прогулка,Cruise,Gəzinti,Дневной круиз,Day cruise,Gündüz kruizi,"Полный день на воде: остров Бёюк-Зиря, купание, обед на борту.","Full day on water: Boyuk-Zira island, swim stop, lunch on board.","Suda tam gün: Böyük-Zirə adası, çimmə, gəmidə nahar.",6 ч,6 h,6 saat,1200,₼ / выход,₼ / outing,₼ / çıxış,https://optim.tildacdn.com/tild3062-6564-4137-b632-643362336333/-/format/webp/photo_2022-07-15_11-.jpg.webp,,,,,,,,,,,,,,,,,,,,,,,,,
master,10,yes,group,Обучение,Training,Təlim,Парусный мастер-класс,Sailing masterclass,Yelkən masterklası,На мастер-классе вы сможете:,What you'll do at the masterclass:,Masterklasda nə edə biləcəksiniz:,2 ч,2 h,2 saat,80,₼ / чел,₼ / person,₼ / nəfər,https://optim.tildacdn.com/tild6161-3236-4039-b233-373364626661/-/format/webp/photo_2021-09-11_15-.jpg.webp,,,,,,,,,,,,,,,,mk,Обучаться работе с парусами и навыкам управления яхтой с профессиональным капитаном-инструктором | Просто наслаждаться морской прогулкой,Learn sail handling and yacht steering with a professional captain-instructor | Or simply enjoy the sail,Peşəkar kapitan-təlimatçı ilə yelkənlərlə işləməyi və yaxta idarəsini öyrənmək | Sadəcə dəniz gəzintisindən həzz almaq,,,,,,
regatta-weekend,12,yes,group,Регата,Regatta,Regata,Регата выходного дня,Weekend regatta,Həftəsonu regatası,,,,3 ч,3 h,3 saat,,,,,https://optim.tildacdn.com/tild6334-3666-4132-b135-393332656436/-/format/webp/Baku_Weekend_Race_ep.png.webp,,,,,,,Клубные парусные гонки в Баку,Club sailing races in Baku,Bakıda klub yelkən yarışları,,,,,,,baku-club-regatta,"В экипажах — и опытные яхтсмены, и новички | Опыт не обязателен, всему научим уже на воде",Crews mix experienced sailors and beginners | No experience needed — we'll teach you on the water,"Komandalarda həm təcrübəli yaxtaçılar, həm də yeni başlayanlar | Təcrübə tələb olunmur — hər şeyi suda öyrədəcəyik",Скоро · оставьте заявку,Coming soon · leave a request,Tezliklə · sorğu buraxın,,,
team,20,yes,corporate,Корпоратив,Corporate,Korporativ,Тимбилдинг под парусом,Sailing teambuilding,Yelkən altında timbilding,Устройте вашей команде интересное испытание!,Give your team a real challenge!,Komandanıza maraqlı sınaq təşkil edin!,3–4 ч,3–4 h,3–4 saat,,,,,https://optim.tildacdn.com/tild6461-3862-4339-a134-643032396536/-/format/webp/imgi_99_photo_2020-1.jpg.webp,,,,Коллектив или команда?,Crew or team?,Kollektiv yoxsa komanda?,,,,,,,,,,corp,Профессиональные капитаны | Корпоративная регата под ключ | Обучение навыкам управления парусной яхтой | Награждение и фото,Professional captains | Turn-key corporate regatta | Yacht handling training | Awards and photos,Peşəkar kapitanlar | Tam paket korporativ regata | Yelkənli yaxtanın idarə edilməsi təlimi | Mükafatlandırma və foto,,,,,,
regatta-intl,30,yes,international,Регата,Regatta,Regata,Международные регаты,International regattas,Beynəlxalq regatalar,"Khazri sailing team — заявка от Азербайджана на регаты в Турции, Греции, Хорватии.","Khazri sailing team — Azerbaijan entry for regattas in Turkey, Greece, Croatia.","Khazri sailing team — Türkiyə, Yunanıstan, Xorvatiyada regatalara müraciət.",неделя,1 week,1 həftə,,,,,https://optim.tildacdn.com/tild3432-3834-4332-b839-613232656161/-/format/webp/122_039412.jpg.webp,,,,,,,,,,,,,,,,regattas,,,,,,,,,
voyage,31,yes,international,Путешествие,Voyage,Səyahət,Путешествия на яхте,Yacht voyages,Yaxta səyahətləri,"Круизы на яхте по всему миру — Турция, Греция, Хорватия. Маршрут и яхта под состав группы.","Charter cruises abroad — Turkey, Greece, Croatia. Route and yacht tailored to your group.","Xaricdə uzaq kruizlər — Türkiyə, Yunanıstan, Xorvatiya. Marşrut və yaxta qrupa uyğunlaşdırılır.",3–14 дней,3–14 days,3–14 gün,,,,,https://optim.tildacdn.com/tild3764-3966-4165-a261-363364643539/-/format/webp/GOPR2085.JPG.webp,,,,,,,,,,,,,,,,cruises,,,,,,,,,
charter-intl,32,yes,international,Чартер,Charter,Çarter,Индивидуальный чартер,Private charter,Fərdi çarter,"Подбираем яхту с экипажем (или без) под Вас и Ваших гостей. Турция, Хорватия, Карибы, Сейшелы — направление под запрос.","We pick a yacht with a crew (or bareboat) for you and your guests. Turkey, Croatia, Caribbean, Seychelles — destination on request.","Sizin və qonaqlarınız üçün ekipajla (və ya ekipajsız) yaxta seçirik. Türkiyə, Xorvatiya, Karib dənizi, Seyşel adaları — istiqamət sorğu üzrə.",1–2 недели,1–2 weeks,1–2 həftə,,,,,https://optim.tildacdn.com/tild3136-6331-4464-a233-656238366438/-/format/webp/20092023-0008.jpg.webp,,,,,,,,,,,,,,,,world,,,,,,,,,
